label,email_text
spam,Hot deal!!! buy followers!!! http://boost-social.fake
ham,"Hey,
I think there is a typo in the file."
spam,<html><body>CONGRATS!!! u won $1000!!! click <a href='http://spammy.com'>here</a> now!!! 亞</body></html>
spam,click fast!!!! http://prize-drop.win
ham,<br>Don't forget to submit the assignment.
spam,<div>last chance!!! 90% OFF!!! http://super-sale.store</div>
spam,OMG!!! unbelievable deal!!!! http://crazy-offer.biz
spam,limited time!!!! FREE gift card!!! http://giftcardscam.net
spam,hey u!!! win iphone!!! go --> http://scamlink.com 導
spam,Winner!!! send ur details ASAP!!! http://claim-now.win
ham,Plz update the spreadsheet when u can.
ham,<p>attached the invoice... check once.</p>
ham,hey!!! r u coming to the party tonight?? 脂
spam,"Dear custmer,, update info here http://phish-login.net"
spam,cheap flights!!! book now http://flight-deals.biz
spam,CONGRATULATIONSSS!!!! you WON!!! <a href='http://lottery.win'>Claim</a>
spam,earn 5000$ daily!!! work frm home!!! http://easy-money.click
ham,Reminder: dentist appt tomorrow @ 10am.
spam,Special promo!!!! visit http://bit.ly/spamdeal
ham,<p>Please review the doc I shared yesterday.</p>
ham,hey broooo!!! long time no see ��
spam,<b>Get FREE bitcoin!!!</b> http://btc-airdrop.fake
spam,Get rich quick!!! http://get-rich-quick.biz 腸腸
ham,Let's catch up sometime next week.
spam,urgent!!! ur account suspended!!! login http://fakebank.co
ham,<div>call me when u reach home.</div>
ham,Reminder!!! team outing tomorrow ��
spam,plzzz verify ur bank acct here http://bank-secure-login.fake
spam,"Dear user,,, claim ur prize now!!! visit http://freecash.xyz $$$"
ham,Don't forget mom's birthday!!! 獅
spam,OMG!!! u r selected!!! claim reward 痩 http://reward-now.biz
spam,Buy cheap meds now!!! http://meds-discount.ru
ham,"hey,
I'll send the slides later today."
ham,"Hey there!! just testing newline

here"
ham,Can u check this link http://example.com and confirm?
spam,<div>LIMITED offer!!! buy now @ http://cheap-deals.com</div>
spam,<h1>FREE crypto giveaway!!!</h1> http://fakecrypto.net
ham,Plzz fix the bug in module 3 asap.
spam,<p>Earn $$$ from home!!! no skill needed!!!</p>
ham,Did u see the match yesterday??? wow!!
spam,verify ur paypal now http://secure-paypal-login.fake
ham,Good morning! coffee later? 笘�
ham,"Hi team,
The server restart worked... check again."
ham,<div>Meeting at 3pm today. don't be late!!</div>
ham,can u review my code??? it's messy lol
ham,"Hey John,
Can u send the report by today plz?  thanks 凾"
ham,Thanks for ur help earlier!!
ham,Lunch @ 1pm?? let me know!!
spam,FREEE vacation!!! click here <br> http://holiday-free.net
ham,Project deadline moved to Friday.